Nombre Sección,Sección,Total,censo,votos_total,Participación
Azpeitia sección 01008,01801008,14736.0,556.0,388.0,0.697841726618705
Azpeitia sección 01009,01801009,16370.0,1255.0,907.0,0.7227091633466135
Beasain sección 01001,01901001,13100.0,758.0,445.0,0.5870712401055409
Beasain sección 01002,01901002,16836.0,1589.0,1097.0,0.6903713027061045
Beasain sección 01003,01901003,19825.0,1564.0,1089.0,0.6962915601023018
Beasain sección 01004,01901004,16815.0,1177.0,787.0,0.6686491079014444
Beasain sección 01005,01901005,16819.0,1560.0,1056.0,0.676923076923077
Beasain sección 01007,01901007,17776.0,1784.0,1304.0,0.7309417040358744
Beasain sección 01008,01901008,15645.0,509.0,379.0,0.7445972495088409
Beasain sección 01009,01901009,14994.0,951.0,583.0,0.6130389064143007
Beizama sección 01001,02001001,15439.0,114.0,64.0,0.5614035087719298
Belauntza sección 01001,02101001,15387.0,185.0,104.0,0.5621621621621622
Berastegi sección 01001,02201001,16321.0,849.0,574.0,0.6760895170789164
Berrobi sección 01001,02301001,14627.0,441.0,254.0,0.5759637188208617
Bidania-Goiatz sección 01001,02401001,14641.0,395.0,245.0,0.620253164556962
Zegama sección 01001,02501001,16530.0,1110.0,791.0,0.7126126126126127
Zerain sección 01001,02601001,18895.0,207.0,172.0,0.8309178743961353
Zestoa sección 01001,02701001,14225.0,1733.0,1224.0,0.7062896710905944
Zestoa sección 01002,02701002,14237.0,1028.0,642.0,0.6245136186770428
Zizurkil sección 01001,02801001,16184.0,1444.0,987.0,0.6835180055401662
Zizurkil sección 01002,02801002,13405.0,810.0,455.0,0.5617283950617284
Deba sección 01001,02901001,17445.0,1309.0,1023.0,0.7815126050420168
Deba sección 01002,02901002,15518.0,1349.0,984.0,0.7294292068198666
Deba sección 01003,02901003,17134.0,826.0,592.0,0.7167070217917676
Deba sección 02001,02902001,15088.0,780.0,517.0,0.6628205128205128
Eibar sección 01001,03001001,22222.0,1366.0,1004.0,0.7349926793557833
Eibar sección 01002,03001002,20398.0,1079.0,761.0,0.7052826691380908
Eibar sección 01003,03001003,18170.0,819.0,610.0,0.7448107448107448
Eibar sección 01004,03001004,15334.0,1198.0,785.0,0.6552587646076795
Eibar sección 01005,03001005,13011.0,1014.0,695.0,0.685404339250493
Eibar sección 02001,03002001,14737.0,838.0,553.0,0.6599045346062052
Eibar sección 02002,03002002,14398.0,949.0,566.0,0.5964172813487882
Eibar sección 02003,03002003,13714.0,921.0,641.0,0.6959826275787188
Eibar sección 02004,03002004,13859.0,964.0,607.0,0.6296680497925311
Eibar sección 02005,03002005,15457.0,888.0,664.0,0.7477477477477478
Eibar sección 03001,03003001,14266.0,1300.0,805.0,0.6192307692307693
Eibar sección 03003,03003003,16204.0,747.0,535.0,0.7161981258366801
Eibar sección 03004,03003004,16521.0,634.0,450.0,0.7097791798107256
Eibar sección 04001,03004001,15055.0,879.0,631.0,0.7178612059158134
Eibar sección 04002,03004002,17580.0,771.0,563.0,0.7302204928664072
Eibar sección 04003,03004003,23263.0,1029.0,765.0,0.7434402332361516
Eibar sección 04004,03004004,18451.0,519.0,416.0,0.8015414258188824
Eibar sección 04005,03004005,14911.0,745.0,496.0,0.6657718120805369
Eibar sección 04006,03004006,14918.0,766.0,528.0,0.6892950391644909
